id,phase,workstream,task,priority,dependencies,implementation_status
CNWM-057,4,Mobile,Create mobile bottom-sheet workflow and reduced default layers.,P1,CNWM-048,complete
CNWM-058,4,Unavailable states,Implement source-specific stale/unavailable/partial map states.,P1,CNWM-044,complete
CNWM-059,4,Commodity presets,"Ship Copper, Crude Oil, Gold and Cocoa map presets first.",P1,CNWM-048,complete
CNWM-060,4,Visual QA,Create deterministic map/globe golden screenshots.,P1,CNWM-048,complete
CNWM-061,5,News ingestion,Curate commodity-specific RSS/official/filing source catalog.,P0,CNWM-036,complete
CNWM-062,5,Deduplication,"Normalize canonical URLs, titles and event fingerprints.",P1,CNWM-059,complete
CNWM-063,5,Extraction,"Generate schema-bound event candidates: commodity, entity, location, type, direction and materiality.",P1,CNWM-060,complete
CNWM-064,5,Corroboration,Require source diversity and primary evidence for high-materiality events.,P0,CNWM-061,complete
CNWM-065,5,Editorial queue,"Build private review UI for event facts, claims, entities and graph candidates.",P0,"CNWM-061,CNWM-042",complete
CNWM-066,5,Event publication,Publish approved Event Pulse records to Astro content/data build.,P1,CNWM-063,complete
CNWM-067,5,Visual brief,Generate structured AI editorial visual brief from approved event facts.,P1,CNWM-063,complete
CNWM-068,5,Reference rights,"Allow input/reference images only when owned, licensed or public-domain and registered.",P0,CNWM-066,complete
CNWM-069,5,Image generation,Generate text-free editorial visuals and variants.,P2,CNWM-067,complete
CNWM-070,5,UI overlay,"Render facts, dates, labels, logos and values as HTML/SVG over imagery.",P1,CNWM-068,complete
CNWM-071,5,Image optimization,"Create AVIF/WebP/JPEG fallbacks, srcset, dimensions and blur placeholders.",P1,CNWM-068,complete
CNWM-072,5,Media audit,"Store generation model, brief hash, references, rights, reviewer and disclosure.",P1,CNWM-068,complete
CNWM-073,6,Ontology schema,"Implement Entity, Edge, Evidence, Event and GraphSnapshot schemas.",P0,"CNWM-035,CNWM-042",complete
CNWM-074,6,Entity resolution,"Resolve company, mine, plant, port, commodity and country aliases.",P1,CNWM-071,complete
CNWM-075,6,Edge workflow,Create candidate → reviewed → published → superseded/rejected lifecycle.,P0,CNWM-071,complete
CNWM-076,6,Propagation,Implement explainable 1–3 hop impact path scoring.,P1,CNWM-073,complete
CNWM-077,6,Graph API,"Add subgraph, path, evidence and snapshot RPCs.",P1,CNWM-073,complete
CNWM-078,6,Graph renderer,Build Impact Universe using Graphology/Sigma or a dedicated WebGL graph island.,P1,CNWM-075,complete
CNWM-079,6,Clustering,Implement semantic clusters and progressive expansion.,P1,CNWM-076,complete
CNWM-080,6,Evidence drawer,Build edge/node evidence and invalidation drawer.,P0,CNWM-075,complete
CNWM-081,6,Map sync,Synchronize selected map entity/event with graph focus.,P1,"CNWM-076,CNWM-050",complete
CNWM-082,6,Timeline,Add event/path playback with deterministic snapshots.,P2,CNWM-079,complete
CNWM-083,6,Table parity,Provide accessible path list/table equivalent to graph.,P0,CNWM-076,complete
CNWM-084,6,Example vertical,Complete Copper event → mine → route → company → industry vertical slice.,P0,CNWM-071..081,complete
CNWM-085,7,Newsletter,Implement Weekly Commodity Impact Brief signup and consent records.,P1,CNWM-023,in_progress
CNWM-086,7,Analytics,Define privacy-aware event taxonomy across research and live surfaces.,P1,CNWM-020,complete
CNWM-087,7,Watchlists,"Enable account-based saved commodities, companies and routes.",P2,CNWM-057,in_progress
CNWM-088,7,Alerts,Enable deduplicated Event Pulse and route alerts.,P2,CNWM-086,in_progress
CNWM-089,7,Pro contracts,"Define validated paid entitlements: historical replay, exports, advanced paths and API.",P2,CNWM-086,complete
CNWM-090,7,Billing,Activate checkout only after product facts and legal/privacy gates pass.,P2,CNWM-088,complete
CNWM-091,7,B2B lead,Add custom commodity exposure brief request workflow.,P1,CNWM-029,in_progress
CNWM-092,7,API plans,"Define API keys, quotas, public/free and paid scopes.",P2,"CNWM-075,CNWM-088",complete
CNWM-093,7,MCP tools,"Expose commodity event, benchmark, route and evidence tools.",P3,CNWM-091,complete
CNWM-094,7,Revenue instrumentation,"Track newsletter, custom brief, Pro and API conversions separately from ads.",P2,CNWM-085..091,complete
CNWM-095,8,Index policy,Create explicit indexability matrix by route type and publication state.,P0,CNWM-023,complete
CNWM-096,8,Structured data,"Add Organization, WebSite, BreadcrumbList, Article/NewsArticle, Dataset and ImageObject where valid.",P1,CNWM-094,complete
CNWM-097,8,Canonical/hreflang,Implement canonical and language rules across apex/live/legacy URLs.,P1,CNWM-094,complete
CNWM-098,8,Image SEO,"Publish descriptive filenames, alt text, image sitemap and primaryImageOfPage.",P1,CNWM-069,complete
CNWM-099,8,Content gate,Implement internal people-first publication contract.,P0,CNWM-025..029,complete
CNWM-100,8,Ad allowlist,Implement route-level manual ad eligibility.,P0,CNWM-094,complete
CNWM-101,8,Ad layout,"Add reserved, labeled slots only to qualified long-form pages.",P1,CNWM-099,complete
CNWM-102,8,Consent,Implement privacy/CMP behavior required by target jurisdictions and ad stack.,P0,CNWM-099,complete
CNWM-103,8,AdSense readiness,"Run public crawl and remove under-construction, internal QA and low-value shells.",P0,CNWM-094..101,complete
CNWM-104,8,Search Console,Submit clean sitemaps and monitor index coverage after migration.,P1,CNWM-094,planned
CNWM-105,8,Application gate,Reapply for AdSense only after all internal release gates pass.,P1,CNWM-102,planned
CNWM-106,9,Security,"Harden RSS/URL fetch allowlists, SSRF controls, HTML sanitization and output encoding.",P0,CNWM-059,complete
CNWM-107,9,Security,"Review CORS, CSP, API keys, rate limits and secret boundaries for all domains.",P0,CNWM-019,complete
CNWM-108,9,Privacy,"Implement account export/deletion, retention and audit logging.",P1,CNWM-086,complete
CNWM-109,9,Performance,Enforce separate research/live bundle and Core Web Vitals budgets.,P0,"CNWM-023,CNWM-055",complete
CNWM-110,9,Accessibility,"Complete keyboard, screen-reader, contrast, motion and chart/table parity review.",P0,CNWM-081,complete
CNWM-111,9,Reliability,"Run provider, Redis, DB, image and AI outage simulations.",P0,"CNWM-044,CNWM-056",complete
CNWM-112,9,Upstream,Perform first upstream sync rehearsal and resolve conflicts using patch ledger.,P1,"CNWM-021,CNWM-022",complete
CNWM-113,9,Release,Create immutable release tag and production source snapshot.,P0,CNWM-007,planned
CNWM-114,9,Operations,"Create incident, data correction, rights takedown and rollback runbooks.",P1,CNWM-108,complete
CNWM-115,9,Launch QA,Run full desktop/mobile/browser/content/data/license/ad/SEO audit.,P0,all,in_progress
CNWM-116,9,Post-launch,"Create weekly quality review covering data freshness, corrections, source rights, CWV and content performance.",P1,CNWM-112,complete
